time,Historical,Dry,Drought,Variable,Rain Season extend a month,Rain Season shorten a month,Demand
Aug-10,175.1342316,140.1073853,87.56711581,144.0866779,175.1342316,175.1342316,208030.6552
Sep-10,157.5765771,126.0612617,78.78828856,123.0174926,157.5765771,157.5765771,138451.6552
Oct-10,172.4724182,137.9779346,86.2362091,140.8925018,172.4724182,172.4724182,112330.7037
Nov-10,177.9110861,142.3288689,88.95554307,147.4189034,177.9110861,177.9110861,110299.152
Dec-10,691.7323141,553.3858513,345.8661571,764.004377,691.7323141,691.7323141,93928.69259
Jan-11,404.4508455,323.5606764,202.2254227,419.2666146,364.005761,522.1324528,74079.46154
Feb-11,313.1518355,250.5214684,156.5759178,309.7078026,281.836652,430.8334428,73654.75
Mar-11,1043.222593,834.5780747,521.6112967,1185.792712,938.9003337,1160.9042,96778.56522
Apr-11,1069.382546,855.5060372,534.6912732,1217.184656,962.4442914,1187.064153,94964.52174
May-11,941.4528584,753.1622867,470.7264292,1063.66903,847.3075726,470.7264292,135653.2273
Jun-11,760.4991331,608.3993064,380.2495665,846.5245597,1137.665201,760.4991331,176285.9231
Jul-11,350.0403645,280.0322916,175.0201822,353.9740374,350.0403645,350.0403645,246166.2414
Aug-11,161.8291315,129.4633052,80.91456574,128.1205578,161.8291315,161.8291315,208030.6552
Sep-11,142.5002405,114.0001924,71.25012025,104.9258886,142.5002405,142.5002405,138451.6552
Oct-11,167.8449885,134.2759908,83.92249424,135.3395862,167.8449885,167.8449885,112330.7037
Nov-11,166.8016846,133.4413476,83.40084228,134.0876215,166.8016846,166.8016846,110299.152
Dec-11,140.1557819,112.1246255,70.07789095,102.1125383,140.1557819,140.1557819,93928.69259
Jan-12,161.4760743,129.1808594,80.73803714,127.6968891,145.3284669,203.8141803,74079.46154
Feb-12,124.7997764,99.83982109,62.39988818,83.68533163,112.3197988,167.1378824,73654.75
Mar-12,545.8046418,436.6437134,272.9023209,588.8911701,491.2241776,588.1427478,96778.56522
Apr-12,564.8102275,451.848182,282.4051138,611.697873,508.3292048,607.1483335,94964.52174
May-12,338.7048476,270.9638781,169.3524238,340.3714171,304.8343628,169.3524238,135653.2273
Jun-12,132.9081916,106.3265533,66.45409579,93.4154299,306.4677484,132.9081916,176285.9231
Jul-12,142.468505,113.974804,71.23425251,104.887806,142.468505,142.468505,246166.2414
Aug-12,67.52715172,54.02172137,33.76357586,14.95818206,67.52715172,67.52715172,208030.6552
Sep-12,69.55623899,55.64499119,34.7781195,17.39308679,69.55623899,69.55623899,138451.6552
Oct-12,117.0959885,93.67679081,58.54799426,74.44078621,117.0959885,117.0959885,112330.7037
Nov-12,270.9000104,216.7200083,135.4500052,259.0056125,270.9000104,270.9000104,110299.152
Dec-12,817.4682872,653.9746297,408.7341436,914.8875446,817.4682872,817.4682872,93928.69259
Jan-13,293.4441022,234.7552818,146.7220511,286.0585227,264.099692,311.9513418,74079.46154
Feb-13,230.7149585,184.5719668,115.3574792,210.7835502,207.6434627,249.2221981,73654.75
Mar-13,311.5551442,249.2441153,155.7775721,307.791773,280.3996298,330.0623838,96778.56522
Apr-13,270.1700944,216.1360755,135.0850472,258.1297132,243.153085,288.677334,94964.52174
May-13,148.0579165,118.4463332,74.02895825,111.5950998,133.2521249,74.02895825,135653.2273
Jun-13,109.4437708,87.55501665,54.72188541,65.25812498,234.8379924,109.4437708,176285.9231
Jul-13,87.52447126,70.019577,43.76223563,38.95496551,87.52447126,87.52447126,246166.2414
Aug-13,83.45241244,66.76192995,41.72620622,34.06849492,83.45241244,83.45241244,208030.6552
Sep-13,64.28021539,51.42417231,32.14010769,11.06185847,64.28021539,64.28021539,138451.6552
Oct-13,87.30628983,69.84503186,43.65314491,38.69314779,87.30628983,87.30628983,112330.7037
Nov-13,63.34798565,50.67838852,31.67399283,9.943182785,63.34798565,63.34798565,110299.152
Dec-13,58.26832534,46.61466027,29.13416267,3.847590402,58.26832534,58.26832534,93928.69259
Jan-14,77.62498486,62.09998789,38.81249243,27.07558184,69.86248637,88.7896756,74079.46154
Feb-14,186.5173517,149.2138814,93.25867586,157.7464221,167.8656165,197.6820424,73654.75
Mar-14,350.9587099,280.7669679,175.479355,355.0760519,315.8628389,362.1234006,96778.56522
Apr-14,216.2396125,172.99169,108.1198062,193.413135,194.6156513,227.4043032,94964.52174
May-14,89.31752589,71.45402071,44.65876295,41.10663107,80.3857733,44.65876295,135653.2273
Jun-14,76.95655631,61.56524505,38.47827815,26.27346757,169.0223748,76.95655631,176285.9231
Jul-14,80.50299623,64.40239699,40.25149812,30.52919548,80.50299623,80.50299623,246166.2414
Aug-14,61.03129559,48.82503647,30.5156478,7.163154708,61.03129559,61.03129559,208030.6552
Sep-14,93.66330323,74.93064258,46.83165161,46.32156388,93.66330323,93.66330323,138451.6552
Oct-14,51.96684902,41.57347922,25.98342451,-3.714181171,51.96684902,51.96684902,112330.7037
Nov-14,55.77510666,44.62008533,27.88755333,0.855727995,55.77510666,55.77510666,110299.152
Dec-14,465.8371817,372.6697454,232.9185909,492.9302181,465.8371817,465.8371817,93928.69259
Jan-15,135.3319889,108.2655911,67.66599444,96.32398667,121.79879,141.6892502,74079.46154
Feb-15,329.1941208,263.3552967,164.5970604,328.958545,296.2747087,335.5513821,73654.75
Mar-15,115.7412802,92.59302416,57.8706401,72.81513623,104.1671522,122.0985415,96778.56522
Apr-15,78.11291787,62.4903343,39.05645894,27.66110145,70.30162608,84.47017921,94964.52174
May-15,50.85809068,40.68647254,25.42904534,-5.044691184,45.77228161,25.42904534,135653.2273
Jun-15,65.36913906,52.29531125,32.68456953,12.36856687,136.2929789,65.36913906,176285.9231
Jul-15,62.37807004,49.90245603,31.18903502,8.779284044,62.37807004,62.37807004,246166.2414
Aug-15,83.24018141,66.59214513,41.62009071,33.81381769,83.24018141,83.24018141,208030.6552
Sep-15,85.38232633,68.30586107,42.69116317,36.3843916,85.38232633,85.38232633,138451.6552
Oct-15,90.43620157,72.34896126,45.21810079,42.44904189,90.43620157,90.43620157,112330.7037
Nov-15,34.24258327,27.39406661,17.12129163,-24.98330008,34.24258327,34.24258327,110299.152
Dec-15,165.127638,132.1021104,82.56381899,132.0787656,165.127638,165.127638,93928.69259
Jan-16,542.2185325,433.774826,271.1092662,584.587839,487.9966793,572.7728579,74079.46154
Feb-16,358.3986966,286.7189573,179.1993483,364.0040359,322.5588269,388.953022,73654.75
Mar-16,1300.66081,1040.528648,650.3304049,1494.718572,1170.594729,1331.215135,96778.56522
Apr-16,428.1076626,342.4861301,214.0538313,447.6547951,385.2968963,458.661988,94964.52174
May-16,244.4346033,195.5476826,122.2173016,227.247124,219.991143,122.2173017,135653.2273
Jun-16,108.8864164,87.10913316,54.44320822,64.58929973,396.2684469,108.8864164,176285.9231
Jul-16,102.3310563,81.86484503,51.16552815,56.72286755,102.3310563,102.3310563,246166.2414
Aug-16,71.72615246,57.38092197,35.86307623,19.99698295,71.72615246,71.72615246,208030.6552
Sep-16,87.56810754,70.05448603,43.78405377,39.00732905,87.56810754,87.56810754,138451.6552
Oct-16,164.0049954,131.2039963,82.00249768,130.7315944,164.0049954,164.0049954,112330.7037
Nov-16,142.9326364,114.3461091,71.46631821,105.4447637,142.9326364,142.9326364,110299.152
Dec-16,650.5575119,520.4460095,325.2787559,714.5946143,650.5575119,650.5575119,93928.69259
Jan-17,1457.678049,1166.142439,728.8390245,1683.139259,1311.910244,1566.244631,74079.46154
Feb-17,2686.876507,2149.501206,1343.438254,3158.177409,2418.188856,2795.443089,73654.75
Mar-17,1227.768378,982.2147027,613.8841892,1407.247654,1104.99154,1336.33496,96778.56522
Apr-17,1467.05985,1173.64788,733.5299252,1694.39742,1320.353865,1575.626432,94964.52174
May-17,868.5326585,694.8261268,434.2663292,976.1647902,781.6793927,434.2663293,135653.2273
Jun-17,310.4602701,248.3682161,155.2301351,306.4779241,1081.251814,310.4602701,176285.9231
